Description,Index,Scenario,Perspective,Ambiguity
Pick up the yellow block.,1554,Configuration_1_v1.png,neither,1
Pick up the yellow block.,674,Configuration_1_v1.png,neither,1
Pick up the yellow block.,1012,Configuration_1_v1.png,neither,1
Pick up the yellow block.,446,Configuration_1_v1.png,neither,1
Pick up the yellow cube.,1341,Configuration_1_v1.png,neither,1
Pick up the first green block near you.,521,Configuration_1_v2.png,neither,1
pick up the closest green block,413,Configuration_1_v2.png,neither,6
Pick up the green block closest to you.,635,Configuration_1_v2.png,neither,1
Grab the green block that is closest to you.,423,Configuration_1_v2.png,neither,1
Pick the green block that is closest to you on your right.,317,Configuration_1_v2.png,agent,1
Pick up the blue block second from your left.,190,Configuration_2_v1.png,agent,1
"Find the cluster of three blue blocks to your left.  Of the these three, pick up the blue block in the middle.",892,Configuration_2_v1.png,agent,1
grab the blue block that is closest to you on your left.,388,Configuration_2_v1.png,agent,2
Reach out and grab the blue block that's next to the tan block that's closest to you.,1044,Configuration_2_v1.png,neither,2
Pick up blue block that is second from the leftmost blue block.,844,Configuration_2_v1.png,ambiguous,2
Pick up the blue block that is directly to the right of the furthest yellow block on your left.,1418,Configuration_2_v2.png,agent,2
"Looking to your direct left of the blocks, you see a blue block. Then two more blue blocks. Please select blue block of these that is the furtherest away from you",1117,Configuration_2_v2.png,agent,2
Pick up the blue block behind the orange block.,447,Configuration_2_v2.png,ambiguous,4
Pick up the orange block closest to you.,1105,Configuration_2_v2.png,neither,1
On the left side of the table there is a small grouping of 3 blue blocks. Pick the one that is the rightmost in that group.,1449,Configuration_2_v2.png,ambiguous,2
Pick up the green block that is closer to you.,130,Configuration_3_v1.png,neither,1
you want the green one closest to you,834,Configuration_3_v1.png,neither,1
"Right in front of you is a green block, pick that one up.",784,Configuration_3_v1.png,neither,1
"Please pick up the green block that is positioned closest to you, slightly to your right.",60,Configuration_3_v1.png,agent,1
Pick up the green block closest to you.,1314,Configuration_3_v1.png,neither,1
Pick up the green block on your left.,1426,Configuration_3_v2.png,agent,1
Pick up the green block farthest to your left.,1089,Configuration_3_v2.png,agent,1
I would ask them to pick up the block in front of them to their top left corner.,1457,Configuration_3_v2.png,agent,1
Move the second orange block from the right corner and then pick up the green block.,519,Configuration_3_v2.png,ambiguous,2
Locate and pick up the green block located on the top part of the table,1337,Configuration_3_v2.png,ambiguous,2
Take the yellow block that is surrounded on all four sides by other blocks.,818,Configuration_4_v1.png,neither,2
the yellow block second closest to me touching the blue block furthest to the right,1124,Configuration_4_v1.png,ambiguous,2
You are to pick up a yellow block. It is on your right side and is above and touching a blue block. It is the lower of the two yellow blocks that are just below the single yellow block that is furthest away from you.,864,Configuration_4_v1.png,agent,1
Grab the yellow block directly above the yellow block that is closest to you.,144,Configuration_4_v1.png,ambiguous,2
pick up the yellow block fourth from the bottom on the string of blocks on your right.  It's immediately next to the far right blue block.,1395,Configuration_4_v1.png,agent,1
"There are two yellow blocks in front of an orange block, but below a blue block. Pick up the yellow block that is closest to the blue block.",511,Configuration_4_v2.png,ambiguous,1
there is an orange block followed by a yellow block followed by another yellow one. The second yellow is the one needed.,1173,Configuration_4_v2.png,ambiguous,1
I would tell the robot to pick up the yellow block that is grouped with other yellow blocks but is closer to me and  not the closest to me but the one to the right of it,55,Configuration_4_v2.png,ambiguous,3
"To your right, there's an orange block next to a string of yellow blocks. Pick up the second yellow from the orange in this string.",679,Configuration_4_v2.png,agent,1
Pick up the yellow block that is one up and one to the left of the orange block located on the far right side of the table.,1075,Configuration_4_v2.png,ambiguous,2
Pick up the orange block furthest from you.,634,Configuration_5_v1.png,neither,1
I would ask them to lift the block thats directly in front of them.,1459,Configuration_5_v1.png,neither,4
Pick up the orange block that is on the outside of the 2 orange blocks that are together.,1320,Configuration_5_v1.png,neither,3
Please pick up the orange block that is closest to me.,624,Configuration_5_v1.png,neither,1
Grab the orange block that is closest to you.,152,Configuration_5_v1.png,neither,1
Take the yellow block way in the back.,825,Configuration_5_v2.png,ambiguous,4
Pick up the yellow block that is closest to me and furthest from you.,33,Configuration_5_v2.png,neither,1
pick up the yellow block that is furthest from you.,939,Configuration_5_v2.png,neither,1
Pick up the yellow block closest to me.,1311,Configuration_5_v2.png,neither,1
Pick up the furthest away yellow block.,1189,Configuration_5_v2.png,ambiguous,3
Narrow search to only green blocks. Look at the left side of the table. Pick up the green block that is the second-closest to the left of the table.,794,Configuration_6_v1.png,ambiguous,2
Pick up the green block in the center of the 5 green blocks,646,Configuration_6_v1.png,neither,2
Pick up the centre green block in the five green block set.,530,Configuration_6_v1.png,neither,2
I would ask them to pick the second to last block on their right.,1464,Configuration_6_v1.png,agent,4
"There are five blocks that are green in close proximity to each other, you can see them starting from your left. Pick up the green block that is in the middle of the group.",352,Configuration_6_v1.png,agent,1
The one you want will be green and it will be directly in front of two orange ones stacked up,833,Configuration_6_v2.png,neither,1
Please pick up the green block in the center of the table next to two orange blocks.,207,Configuration_6_v2.png,neither,2
Pick up the green block that is in the center of the table and in front of the orange block,399,Configuration_6_v2.png,ambiguous,2
Pick up the green block that is directly below two orange blocks.,517,Configuration_6_v2.png,ambiguous,1
"pick up the green block on your right but not the furthest right, pick up the one next to the far right one.",711,Configuration_6_v2.png,agent,1
Pick up the blue block furthest to your left.,766,Configuration_7_v1.png,agent,1
Pick up the blue block to your left.,136,Configuration_7_v1.png,agent,1
It is the block on the farthest right. It is the 2nd one from the top.,558,Configuration_7_v1.png,ambiguous,2
Pick up the blue block that is next to the green block.,694,Configuration_7_v1.png,neither,1
Pick up the blue block that is farthest on your left.,444,Configuration_7_v1.png,agent,1
Pick up the bottom green block on your left.,1378,Configuration_7_v2.png,agent,1
Pick up the next to farthest away green block,1566,Configuration_7_v2.png,ambiguous,2
Pick up the green block that is below another green block.,501,Configuration_7_v2.png,ambiguous,2
On the left side pick up the green block that is closest to you.,931,Configuration_7_v2.png,ambiguous,2
Pick the green block which is the farthest to my right.,741,Configuration_7_v2.png,user,1
Pick up the green block from the middle. The second one.,242,Configuration_8_v1.png,neither,4
the green block on my right that is pushed right up against another green block,1132,Configuration_8_v1.png,user,2
There are three green blocks touching on another in the middle of all the blocks and I would like you to pick up the middle of those three green blocks.,660,Configuration_8_v1.png,neither,2
green block in the middle of all the other blocks and surrounded by more green blocks,14,Configuration_8_v1.png,neither,2
In the center of the group of blocks are three green blocks all lined up. Pick up the middle one.,868,Configuration_8_v1.png,neither,1
There are three block in the middle of the table and grab the one at the farthest right.,159,Configuration_8_v2.png,ambiguous,4
Pick up the green block in the center next to the blue block,723,Configuration_8_v2.png,neither,1
Narrow search to only green blocks. Look at the left side of the table. Find the green block that is fourth-closest to the left side of the table. Pick it up.,797,Configuration_8_v2.png,ambiguous,2
